geometry,is_active,district_code
POINT (28.8807589097 41.0115575409),1,5.0
POINT (28.8784918018 41.0427573125),1,15.0
POINT (28.8259631805 41.0649978935),1,4.0
POINT (28.8561754626 41.034514697),1,4.0
POINT (29.2113837621 40.9066447114),1,23.0
POINT (29.0145271463 41.0755084748),1,30.0
POINT (29.076243829 41.0163439849),1,35.0
POINT (28.9771245143 41.0135844923),1,18.0
POINT (28.8669783971 41.0714904542),1,15.0
POINT (29.0620828309 41.0221826659),1,35.0
POINT (29.1694542075 40.8985880196),1,23.0
POINT (28.9804834482 41.0706569134),1,22.0
POINT (29.1623536613 41.0152668658),1,34.0
POINT (28.821128321 40.9795412044),1,6.0
POINT (28.9856591013 41.0381565458),1,12.0
POINT (28.8902959262 41.00148356),1,6.0
POINT (28.8609536978 41.0289932752),1,20.0
POINT (28.8884262491 41.0376806403),1,15.0
POINT (29.1546230461 40.9238194899),1,25.0
POINT (28.9391494468 41.0123552716),1,18.0
POINT (28.9480367019 41.0340557692),1,18.0
POINT (28.8756232689 41.0802277875),1,15.0
POINT (29.0445867059 41.0022997833),1,21.0
POINT (29.0303161782 41.0000996226),1,21.0
POINT (29.0455710525 41.0853512482),1,28.0
POINT (28.8023325524 41.0724316434),1,7.0
POINT (28.8014808953 41.1075881712),1,7.0
POINT (29.121853858 40.9490497377),1,25.0
POINT (28.8606058814 41.1061810067),1,32.0
POINT (28.9728491187 41.0282905337),1,12.0
POINT (29.0219549908 40.9904063985),1,21.0
POINT (28.9926737246 41.0645050502),1,30.0
POINT (29.1792056992 41.0160785116),1,34.0
POINT (29.191190141 40.8886128832),1,23.0
POINT (29.0376279459 40.9909023378),1,21.0
POINT (28.9183127582 41.0823042034),1,17.0
POINT (29.1515186058 41.0159627424),1,34.0
POINT (28.9168778133 40.9926862409),1,36.0
POINT (29.1405619719 41.0165423463),1,34.0
POINT (28.950826891 41.0050201028),1,18.0
POINT (29.0482914336 41.021954492),1,35.0
POINT (29.1304702884 41.0197169944),1,34.0
POINT (29.189207926 41.0145632479),1,38.0
POINT (29.0625591735 40.9791648388),1,21.0
POINT (29.3223601331 40.829952436),1,33.0
POINT (29.0207706082 40.9899103415),1,21.0
POINT (29.178771727 40.9161698138),1,23.0
POINT (28.9874152263 41.0524927818),1,30.0
POINT (28.9305073648 41.0240232433),1,18.0
POINT (28.896181044 41.0076440847),1,20.0
POINT (28.9115778282 41.0159539922),1,36.0
POINT (29.1663490467 40.9208832243),1,25.0
POINT (28.7865302451 41.0744821902),1,7.0
POINT (29.0242490175 41.0773106797),1,9.0
POINT (28.797408964 41.0811835113),1,7.0
POINT (28.9396003277 41.0176097243),1,18.0
POINT (28.9020835612 41.0618358936),1,8.0
POINT (29.0707261384 40.9940461002),1,35.0
POINT (28.9075169292 41.004213274),1,36.0
POINT (28.9514201471 41.0055856644),1,18.0
POINT (28.8706380252 41.0367198157),1,4.0
POINT (28.9666983534 41.0090671307),1,18.0
POINT (28.8896559931 41.0016990483),1,6.0
POINT (28.8719867341 41.0841529031),1,15.0
POINT (28.8285542483 40.9866437703),1,6.0
POINT (29.108777832 41.0241552372),1,34.0
POINT (29.0490084627 40.978696151),1,21.0
POINT (29.2560336339 40.8713029434),1,26.0
POINT (28.9635421453 41.0797649097),1,22.0
POINT (29.2931664015 40.8522885877),1,33.0
POINT (29.1560454699 40.9100151225),1,23.0
POINT (28.8810549364 40.9817327416),1,6.0
POINT (28.9496326544 41.0791146521),1,17.0
POINT (29.1773527137 40.8905590783),1,23.0
POINT (28.9732136953 41.0174751806),1,18.0
POINT (28.9195379435 41.0416185494),1,17.0
POINT (28.8630701218 40.9953514712),1,5.0
POINT (28.8979561956 41.0303299066),1,15.0
POINT (29.0234841795 40.9908757898),1,21.0
POINT (28.9072392503 41.040852645),1,8.0
POINT (28.8667654908 41.0879075061),1,15.0
POINT (29.0055310949 41.0943010952),1,9.0
POINT (29.2120882819 41.010138601),0,27.0
POINT (29.1533571204 40.992156465),1,2.0
POINT (29.0074130115 41.0619944468),1,9.0
POINT (29.0074506142 41.0434905571),0,9.0
POINT (29.0096778157 41.054110438),1,9.0
POINT (28.6793243504 41.0349647043),0,16.0
POINT (28.9960969818 41.1011134287),1,28.0
POINT (28.8710345188 41.0173348574),1,20.0
POINT (28.9439490435 41.03956207),1,18.0
POINT (28.9411189488 41.056729923),1,17.0
POINT (28.9428944835 41.0647767596),1,17.0
POINT (28.9740377459 41.0227730939),1,12.0
POINT (28.9740491197 41.0284213663),1,12.0
POINT (28.802129563 41.0723497502),1,7.0
POINT (29.3474462443 40.8103767335),1,21.0
POINT (29.3638554302 40.8075100987),1,21.0
POINT (29.3800379757 40.799227689),1,25.0
POINT (29.3919754761 40.7913449435),1,25.0
POINT (29.409965741 40.7840644551),1,25.0
POINT (28.932979553 41.0540348217),1,17.0
POINT (28.9340681863 41.0500152491),1,17.0
POINT (28.9939499162 41.044737154),1,30.0
POINT (28.9905733691 41.0436318448),1,30.0
POINT (28.9468463059 41.1212997004),1,17.0
POINT (28.7685326311 41.2564077956),1,1.0
POINT (28.7127665942 41.2554334556),1,1.0
POINT (28.7426387571 41.2559358205),1,1.0
POINT (28.8836670921 41.1769563911),1,17.0
POINT (28.8089292147 41.2429601376),1,17.0
POINT (28.910227377 41.1591296952),1,17.0
POINT (28.9763643256 41.0801645224),1,22.0
POINT (29.0461832253 41.0849124744),0,9.0
POINT (29.0536539042 41.0813857171),0,9.0
POINT (28.7987700317 41.0521039707),0,24.0
POINT (29.2607292243 40.8790971867),0,26.0
POINT (29.231243344 40.8807839988),0,26.0
POINT (29.0109068179 41.0671898751),1,30.0
POINT (29.2399332527 40.9689823866),0,27.0
POINT (29.2175514237 41.0009067942),0,27.0
POINT (29.2724939011 40.9660720865),0,31.0
POINT (29.2549242235 40.9686747563),0,31.0
POINT (29.2292423995 40.9914198992),0,27.0
POINT (29.1988611401 41.0096652612),0,27.0
POINT (29.2314617555 40.983759202),0,27.0
POINT (29.2612487039 40.8787134664),0,26.0
POINT (29.2955767835 40.8638118705),0,26.0
POINT (29.2735045597 40.8787899886),0,26.0
POINT (29.2847349537 40.875958607),0,26.0
POINT (29.2928542239 40.8578528405),0,26.0
POINT (29.2996849242 40.8450693106),0,33.0
POINT (29.3114239088 40.9065447646),1,26.0
POINT (29.2962830984 40.9101335948),1,26.0
POINT (29.2751192864 40.9037407838),1,26.0
POINT (29.2624037531 40.8886417085),1,26.0
POINT (29.1562117564 41.0001481272),1,34.0
POINT (29.1526674022 41.0312433529),1,34.0
POINT (29.1595514004 41.0226344203),1,34.0
POINT (28.8717193568 41.0046548513),0,5.0
POINT (28.828203805 41.0221022649),0,5.0
POINT (28.8365597523 41.0235201646),0,4.0
POINT (28.8478882573 41.0260454587),0,4.0
POINT (28.8578448457 41.0193911133),0,4.0
POINT (28.8027818409 41.0284958617),0,24.0
POINT (28.874947155 40.997791003),0,6.0
POINT (28.8740634973 40.9817353367),0,6.0
POINT (28.9633072364 41.0209082584),1,18.0
POINT (28.8039976708 41.0640636378),0,7.0
POINT (28.8141344326 41.036903864),0,4.0
POINT (28.8226568462 40.9992732598),0,5.0
POINT (28.80672735 41.0449675987),0,24.0
POINT (28.8179826163 41.0150158062),0,5.0
POINT (28.8165137276 41.0251024172),0,4.0
POINT (28.8380437874 40.9892636065),0,6.0
POINT (28.8562110538 40.979913638),0,6.0
POINT (28.8186252974 41.0061906335),0,5.0
POINT (29.126424906 40.9789845394),1,2.0
POINT (29.0999002371 40.9775015583),1,2.0
POINT (29.0867181509 40.9667774717),1,21.0
POINT (29.0977225047 40.9509636456),1,25.0
POINT (29.0937084923 40.9605472642),1,21.0
POINT (29.1377306108 40.9846900159),1,2.0
POINT (29.1632870725 41.0152325915),1,34.0
POINT (29.1117414468 40.9789184865),1,2.0
POINT (29.161855314 41.0071876376),1,34.0
POINT (28.9907500553 41.0335744205),0,12.0
POINT (28.7974872035 41.0518352309),0,24.0
POINT (28.7093319731 41.0622487609),0,3.0
POINT (28.7588533017 41.0561315069),0,24.0
POINT (28.7259503944 41.0594321354),0,3.0
POINT (28.7862786379 41.0553154861),0,24.0
POINT (28.6835026611 41.064085764),0,7.0
POINT (28.7720939967 41.05816462),0,24.0
POINT (28.6755757425 41.0443971342),0,16.0
POINT (28.67076459 41.0567580416),0,16.0
POINT (28.8680772574 40.9736222874),0,6.0
POINT (28.8656490726 41.0116111624),0,5.0
POINT (28.7677107296 41.0176638112),0,24.0
POINT (28.9700504844 41.0182506722),1,18.0
POINT (28.7681738903 41.0202512735),0,24.0
POINT (28.7800124525 41.0338987921),0,24.0
POINT (28.7747473321 41.0565824441),0,24.0
POINT (28.7657137663 41.1174078016),0,7.0
POINT (28.767777836 41.0256154131),0,24.0
POINT (28.7697519201 41.0779951936),0,7.0
POINT (28.7896032792 41.0346806674),0,24.0
POINT (28.7710927915 41.0330831515),0,24.0
POINT (28.7951065961 41.1394899577),0,7.0
POINT (28.7159766816 41.2069599862),0,1.0
POINT (28.7464186818 41.1791811595),0,1.0
POINT (28.8165798652 41.0250630721),0,4.0
POINT (28.7904528718 41.1133556519),1,7.0
POINT (28.7778792943 41.103310128),1,7.0
POINT (28.7678710416 41.1073954459),1,7.0
POINT (28.7665088663 41.1195507427),1,7.0
POINT (29.0566476314 40.9696400909),0,21.0
POINT (29.0969701242 41.026945029),0,34.0
POINT (29.1018263781 41.0160294361),0,34.0
POINT (29.0921391422 40.9849381944),0,2.0
POINT (29.1108510159 40.9993002306),0,34.0
POINT (29.077135021 40.9799539217),0,21.0
POINT (29.1019676058 41.0305156614),0,34.0
POINT (29.1129046309 41.0083402239),0,34.0
POINT (29.104065695 40.9906374128),0,2.0
POINT (29.0662896028 40.9783502001),0,21.0
POINT (29.0987977614 41.0427284001),0,34.0
POINT (28.8136035851 41.0560767788),0,4.0
POINT (28.9379603124 41.0455174821),1,17.0
