geometry,name
POINT (28.8086560081654 41.0700450273023),7
POINT (28.8086299998838 41.0697840339286),7
POINT (28.786175977383 41.0779939775725),7
POINT (28.736365999979 41.0673860005642),7
POINT (28.6221110164326 41.0654109785195),16
POINT (28.9205650192958 41.06767899696),17
POINT (28.8965330419266 41.0490250024506),8
POINT (28.9970100084085 41.1088629888919),28
POINT (29.1573140409202 41.0282429726714),34
POINT (28.8581280000108 41.0720039991152),15
POINT (28.8497740219072 41.0635730301376),4
POINT (29.1064019872267 41.007592044732),34
POINT (29.1649199999924 41.0166110005566),34
POINT (29.1374240058257 41.0132259995105),34
POINT (28.8681899999857 41.0352790005592),4
POINT (28.8373479868796 41.0369179708469),4
POINT (29.3211069999944 40.8784810005346),33
POINT (29.3661935396215 40.8544741132798),33
POINT (29.2983300000091 40.8181369991207),33
POINT (29.3282349999946 40.8276710005267),33
POINT (29.3571380000084 40.8961619991191),33
POINT (29.3220969999944 40.8694820005333),33
POINT (29.3216989999945 40.8292940005269),33
POINT (29.3082919999943 40.8505310005302),33
POINT (29.2833649999941 40.8180250005252),33
POINT (29.3602720126358 40.8377049763016),33
POINT (29.2982159999942 40.8497120005301),33
POINT (29.406772999018 40.9503329972758),33
POINT (29.4177939623434 40.9544050448053),33
POINT (29.4177360287048 40.9546090176428),33
POINT (29.4593159999955 40.9738280005498),26
POINT (29.4594269999955 40.9738460005499),26
POINT (29.389202999995 40.8771560005345),33
POINT (29.391061048433 40.8772640235784),33
POINT (29.0285409763004 41.2209530426081),28
POINT (29.0348399683754 41.1558149985463),28
POINT (29.0308190449227 41.1556449741158),28
POINT (29.0317429999899 41.1553750005788),28
POINT (29.0213750354806 41.1590599812424),28
POINT (29.0212759754619 41.1589670083665),28
POINT (29.0109070392434 41.1648310175645),28
POINT (29.0008359978177 41.1671600282861),28
POINT (28.9909289756887 41.1709889930596),28
POINT (28.9904630000117 41.1733679991132),28
POINT (28.989715658905 41.1777097561701),28
POINT (29.0315199645887 41.1954999764244),28
POINT (29.0360659999899 41.1533050005783),28
POINT (29.0289950057105 41.1405489782681),28
POINT (29.0248650358615 41.134471956013),28
POINT (29.024221966825 41.1305910400611),28
POINT (29.0239879879719 41.1274010150937),28
POINT (29.0245249999898 41.1174120005726),28
POINT (29.0246859999898 41.1132700005719),28
POINT (29.0209720086216 41.1085509961235),28
POINT (29.0253509747438 41.1102990062927),28
POINT (29.0210890042676 41.1082049870038),28
POINT (29.013831959068 41.1065039925643),28
POINT (28.8356049649125 41.0431579788275),4
POINT (28.849065999985 41.0251550005576),4
POINT (28.8336619999842 41.0536350005621),4
POINT (28.8368840376349 41.0577619869283),4
POINT (28.8366709999843 41.0577740005628),4
POINT (28.8640049999855 41.0333250005589),4
POINT (28.8324539999842 41.0455600005609),4
POINT (28.8145359999835 41.0240820005573),4
POINT (28.8379929999845 41.0306470005584),4
POINT (28.8589469726711 41.0376280240923),4
POINT (28.8119841476796 41.0482143942844),4
POINT (28.8206909999837 41.0496970005615),4
POINT (28.8134930244624 41.0575090019073),4
POINT (28.8530700167658 41.0647120086963),4
POINT (28.8282689999839 41.0644960005639),4
POINT (28.8294309999838 41.0464460005608),4
POINT (28.8439680491466 41.0292589605578),4
POINT (28.8352628152588 41.0447668430915),4
POINT (28.8349929999843 41.0449340005607),4
POINT (29.1736899999925 41.0063020005549),34
POINT (28.9605550207241 41.041945833989),12
POINT (29.1558109999922 41.0305130005588),34
POINT (29.1534620000107 41.0330609991162),34
POINT (28.9616759999885 41.0634120005639),22
POINT (28.9932199999892 41.0860060005675),22
POINT (28.9969869999893 41.0963200005692),22
POINT (29.0961830337284 41.0160129862312),34
POINT (28.8495760151823 41.0318539894571),4
POINT (28.8684480169388 41.0343219939212),4
POINT (28.8347819999842 41.0615720005634),4
POINT (28.8184659999835 41.0533930005621),4
POINT (28.8857385193682 40.9997130865929),6
POINT (28.880701989387 40.9998719662147),6
POINT (28.7837129999821 40.9851290005511),6
POINT (29.1076059919489 41.0107259968782),34
POINT (29.1064719999915 41.0296850005586),34
POINT (29.1296869999919 41.0222280005574),34
POINT (29.1116889999916 41.0129050005559),34
POINT (29.0936459999913 41.0280250005583),34
POINT (29.1559419999923 41.0019020005541),34
POINT (29.3792770286229 40.9432219671515),33
POINT (29.3224180000088 40.8651939991197),33
POINT (29.3548799999947 40.8942370005371),33
POINT (29.3615539999948 40.8486210005299),33
POINT (29.2790999672483 40.8562989877775),26
POINT (29.3219439663737 40.8693589601196),33
POINT (29.3103029999944 40.8381290005283),33
POINT (29.351141005046 40.9266679865022),33
POINT (29.3013759999943 40.8178460005251),33
POINT (29.3053649999943 40.84922400053),33
POINT (29.3955999999951 40.8777320005345),33
POINT (29.3588799999948 40.8285350005268),33
POINT (29.3615420000084 40.8451149991202),33
POINT (29.3100489999944 40.8241790005261),33
POINT (29.3337319999945 40.8721990005337),33
POINT (29.3160139999944 40.8334750005276),33
POINT (29.3146109999944 40.8192840005254),33
POINT (29.3245509999945 40.8278540005267),33
POINT (29.3255399999945 40.8259130005264),33
POINT (29.2902430008761 40.8164790234847),33
POINT (29.3054489999944 40.8186050005253),33
POINT (29.3078099999944 40.8204060005256),33
POINT (29.0335910000116 41.2195369991122),28
POINT (29.0284510157429 41.1281020365384),28
POINT (28.7856809999819 41.0727540005651),7
POINT (28.7859409999818 41.0804390005664),7
POINT (28.7862929999819 41.0882060005676),7
POINT (28.790914999982 41.0973080005691),7
POINT (28.7915029999821 41.0976780005691),7
POINT (28.7893539999819 41.1038740005701),7
POINT (28.6745649999745 41.0785670005658),7
POINT (28.6749009999745 41.0785960005658),7
POINT (28.8101450000099 41.0680489991152),7
POINT (28.8105289999831 41.0681170005644),7
POINT (28.6890389999756 41.0715370005648),7
POINT (28.6888069999756 41.0716840005648),7
POINT (28.6724399999742 41.085679000567),7
POINT (28.6618709999733 41.0855040005669),7
POINT (28.75172299998 41.0721820005649),7
POINT (28.6615479999734 41.0804860005661),7
POINT (28.7225049999781 41.0742150005652),7
POINT (28.6640139999736 41.0768080005655),7
POINT (28.9654140000115 41.0200679991164),18
POINT (29.134017999992 40.9827820005511),2
POINT (29.1592769999924 40.9904580005523),2
POINT (29.133556999992 40.9863910005517),2
POINT (29.0862209999912 41.0075070005551),2
POINT (29.1588609999924 40.9912010005525),2
POINT (28.907991999987 41.0484900005615),8
POINT (28.8997909999866 41.0993580005696),32
POINT (29.2689500000096 41.0036789991168),27
POINT (29.2842600000094 40.9864169991172),31
POINT (28.8877959999864 41.0368100005595),15
POINT (28.7867069999822 40.9926810005523),24
POINT (29.0419489999905 41.0023660005542),21
POINT (28.8992659999868 41.0196850005568),15
POINT (28.8933109999867 40.9890530005519),36
POINT (28.9104379999872 41.008360000555),36
POINT (29.0716209999911 40.9687860005489),21
POINT (28.8457769999847 41.058730000563),4
POINT (28.8324279999841 41.0658490005641),4
POINT (28.9074800000113 41.0763479991151),19
POINT (29.1606229999925 40.9240260005418),25
POINT (28.8928889999866 41.0056620005546),20
POINT (29.1176289999919 40.9528710005463),25
POINT (29.1923769999928 40.9828790005512),2
POINT (28.7591589999805 41.0433760005604),24
POINT (29.1476469999922 40.9895780005522),2
POINT (29.1143199999916 40.9917110005525),2
POINT (28.7547489999802 41.0602080005631),24
POINT (28.7934889999824 41.0329630005587),24
POINT (29.0522079999907 40.9929040005527),21
POINT (28.8761089999859 41.0557120005626),15
POINT (28.9050089999868 41.0961310005691),32
POINT (29.0245120494284 40.9950769709486),21
POINT (28.9096300253977 40.9850400271495),36
POINT (28.881793999986 41.0849300005673),19
POINT (29.1650929999924 41.0163680005565),34
POINT (28.9784489999889 41.0660360005643),30
POINT (29.3210219999945 40.8252780005263),33
POINT (29.3129369999944 40.8261520005264),33
POINT (29.3035509999943 40.8153860005247),33
POINT (29.3361839999945 40.8750520005341),33
POINT (29.3336279612635 40.8721570199483),33
POINT (29.3391379999945 40.931822000543),33
POINT (29.3490889999946 40.9201360005412),33
POINT (29.3884990370227 40.94516403368),33
POINT (29.3616809999947 40.8978960005378),33
POINT (29.4022849999951 40.881018000535),33
POINT (29.4165739999952 40.9239830005418),33
POINT (29.3880779999949 40.9112170005398),33
POINT (29.4003720000079 40.9134069991187),33
POINT (29.4081309999952 40.8845160005356),33
POINT (29.3744769999948 40.9024780005384),33
POINT (29.390071999995 40.8771610005345),33
POINT (29.2993659999943 40.8442750005292),33
POINT (29.3043280000091 40.8451989991201),33
POINT (29.2964579999942 40.8486230005299),33
POINT (29.3284049999945 40.8666940005328),33
POINT (28.6841259999748 41.0641970005632),7
POINT (28.787299999981 41.1067970005702),7
POINT (28.787049670554 41.0652285046849),7
POINT (29.1419709821284 41.1646550020767),10
POINT (29.2439519732249 41.184753957165),10
POINT (29.243850999993 41.1846810005836),10
POINT (29.1941970193553 41.1629390430173),10
POINT (29.092153999991 41.1404130005764),10
POINT (29.1408640425429 41.112252970374),10
POINT (29.1463339999919 41.1166480005726),10
POINT (29.1480719999919 41.1103230005716),10
POINT (29.1633679891646 41.2163179606892),10
POINT (29.1629709999919 41.2075930005873),10
POINT (29.1225719999916 41.0895680005682),10
POINT (29.1642129999921 41.0952980005692),10
POINT (29.2010599777919 41.1681310051),10
POINT (29.0960200000113 41.1398599991139),10
POINT (29.1678159522107 41.1697710173222),10
POINT (29.0917279999911 41.0977160005695),10
POINT (29.1396929999919 41.0714050005653),10
POINT (29.1307690321094 41.1035289631454),10
POINT (29.0458379999906 40.9961440005532),21
POINT (28.8760559999858 41.0982890005694),32
POINT (28.881997999986 41.0830040005669),19
POINT (28.6759309873586 40.9791449933039),11
POINT (28.8958279999868 40.9841680005512),36
POINT (29.1539549999924 40.9477920005456),25
POINT (29.1615110331542 40.9336440413414),25
POINT (29.02142099999 41.0129460005559),35
POINT (29.0291769999902 41.0156880005563),35
POINT (29.0660749613841 40.9992449979481),35
POINT (29.073669999991 41.0078410005551),35
POINT (29.390347999995 40.9086620005394),33
POINT (29.3552600000085 40.8944129991191),33
POINT (29.3305259819532 40.8706149739993),33
