PROJE_ASAMA,geometry,is_active
Mevcut Hattaki İstasyon,POINT (29.0070937585 41.0860061902),1
Mevcut Hattaki İstasyon,POINT (28.8884510108 41.0370483035),1
Mevcut Hattaki İstasyon,POINT (29.0213268333 40.985181343),1
Mevcut Hattaki İstasyon,POINT (28.8955204746 41.0484570927),1
Mevcut Hattaki İstasyon,POINT (28.8876515183 41.0726561721),1
Mevcut Hattaki İstasyon,POINT (29.0375407815 41.0823435461),1
Mevcut Hattaki İstasyon,POINT (29.0844186912 40.9604752408),1
Mevcut Hattaki İstasyon,POINT (29.0950591486 40.9538001485),1
Mevcut Hattaki İstasyon,POINT (28.8553800128 41.0628471179),1
Mevcut Hattaki İstasyon,POINT (28.9362253204 41.0802283123),1
Mevcut Hattaki İstasyon,POINT (28.7739273174 41.0062619961),1
Mevcut Hattaki İstasyon,POINT (28.9758940742 41.0151787938),1
Mevcut Hattaki İstasyon,POINT (28.9271565618 41.0182643876),1
Mevcut Hattaki İstasyon,POINT (28.8427537611 41.0331712495),1
Mevcut Hattaki İstasyon,POINT (28.9202426412 41.034096046),1
Mevcut Hattaki İstasyon,POINT (28.9351655775 41.0504706073),1
Mevcut Hattaki İstasyon,POINT (29.0207987305 41.1080929067),1
Mevcut Hattaki İstasyon,POINT (28.9504763048 41.005588975),1
Mevcut Hattaki İstasyon,POINT (29.020752372 40.9884331596),1
Mevcut Hattaki İstasyon,POINT (29.0109240486 41.0689993628),1
Mevcut Hattaki İstasyon,POINT (28.9339749517 41.0314391067),1
Mevcut Hattaki İstasyon,POINT (28.9925196278 41.0342600076),1
Mevcut Hattaki İstasyon,POINT (28.9920304059 41.0339800289),1
Mevcut Hattaki İstasyon,POINT (28.915524597 41.0466419975),1
Mevcut Hattaki İstasyon,POINT (28.8954815845 41.0685637951),1
Mevcut Hattaki İstasyon,POINT (28.8367082249 40.9893132336),1
Mevcut Hattaki İstasyon,POINT (28.8305389157 41.0548941972),1
Mevcut Hattaki İstasyon,POINT (28.9538638023 41.0095921116),1
Mevcut Hattaki İstasyon,POINT (28.9102501142 41.0541363716),1
Mevcut Hattaki İstasyon,POINT (28.864009196 41.0928320034),1
Mevcut Hattaki İstasyon,POINT (28.8578112 41.111919952),1
Mevcut Hattaki İstasyon,POINT (28.9597904528 41.0095852413),1
Mevcut Hattaki İstasyon,POINT (29.2105353314 40.8845046267),1
Mevcut Hattaki İstasyon,POINT (29.2316720558 40.8802067715),1
Mevcut Hattaki İstasyon,POINT (28.8750662124 41.0811903035),1
Mevcut Hattaki İstasyon,POINT (29.1183812217 41.0215409985),1
Mevcut Hattaki İstasyon,POINT (28.9733006431 41.0795639497),1
Mevcut Hattaki İstasyon,POINT (29.3000611747 40.8456508905),1
Mevcut Hattaki İstasyon,POINT (28.9953910663 41.0652301997),1
Mevcut Hattaki İstasyon,POINT (28.9054442225 40.985877775),1
Mevcut Hattaki İstasyon,POINT (28.7993743238 41.058395086),1
Mevcut Hattaki İstasyon,POINT (28.7729423261 40.9885240376),1
Mevcut Hattaki İstasyon,POINT (28.7970279467 40.9677662609),1
Mevcut Hattaki İstasyon,POINT (29.1242047148 40.9268299859),1
Mevcut Hattaki İstasyon,POINT (29.025473107 40.9910897361),1
Mevcut Hattaki İstasyon,POINT (29.0251285208 41.1295804129),1
Mevcut Hattaki İstasyon,POINT (29.0241937825 41.118255545),1
Mevcut Hattaki İstasyon,POINT (29.1395599592 40.9358193379),1
Mevcut Hattaki İstasyon,POINT (29.0275960507 40.9848860823),1
Mevcut Hattaki İstasyon,POINT (29.0267349436 40.9840909558),1
Mevcut Hattaki İstasyon,POINT (28.9711299487 41.0084351413),1
Mevcut Hattaki İstasyon,POINT (28.9320311155 41.0158815142),1
Mevcut Hattaki İstasyon,POINT (28.9233777611 41.0370058895),1
Mevcut Hattaki İstasyon,POINT (28.9442967061 41.0107080395),1
Mevcut Hattaki İstasyon,POINT (28.900212216 41.0206505824),1
Mevcut Hattaki İstasyon,POINT (29.0903877924 40.9847287608),1
Mevcut Hattaki İstasyon,POINT (28.986995331 41.0366106262),1
Mevcut Hattaki İstasyon,POINT (28.975587398 41.008087187),1
Mevcut Hattaki İstasyon,POINT (28.9293599063 41.0256928527),1
Mevcut Hattaki İstasyon,POINT (28.8754036789 40.9966103583),1
Mevcut Hattaki İstasyon,POINT (29.0304364747 41.1397726671),1
Mevcut Hattaki İstasyon,POINT (28.9598347809 41.0122648278),1
Mevcut Hattaki İstasyon,POINT (28.8359418382 41.0403554341),1
Mevcut Hattaki İstasyon,POINT (28.8606511837 41.0330845374),1
Mevcut Hattaki İstasyon,POINT (28.8512631642 41.11621368),1
Mevcut Hattaki İstasyon,POINT (28.9664222621 41.022434782),1
Mevcut Hattaki İstasyon,POINT (29.1053503103 40.9645784145),1
Mevcut Hattaki İstasyon,POINT (29.0847807184 41.0246243207),1
Mevcut Hattaki İstasyon,POINT (29.2488374197 40.882088389),1
Mevcut Hattaki İstasyon,POINT (28.9083979482 41.0853738983),1
Mevcut Hattaki İstasyon,POINT (28.8562244497 40.9802159969),1
Mevcut Hattaki İstasyon,POINT (29.028844655 41.0282537069),1
Mevcut Hattaki İstasyon,POINT (28.9281017456 41.0796856699),1
Mevcut Hattaki İstasyon,POINT (29.0135223765 41.0256996122),1
Mevcut Hattaki İstasyon,POINT (29.0364140056 41.0219145673),1
Mevcut Hattaki İstasyon,POINT (28.8248930566 40.962652581),1
Mevcut Hattaki İstasyon,POINT (29.1335259971 40.9206463836),1
Mevcut Hattaki İstasyon,POINT (28.8926872572 41.0838545405),1
Mevcut Hattaki İstasyon,POINT (29.1068216034 40.9462573976),1
Mevcut Hattaki İstasyon,POINT (28.7874733117 40.9729608799),1
Mevcut Hattaki İstasyon,POINT (29.0301236137 41.0000768042),1
Mevcut Hattaki İstasyon,POINT (28.9894418022 41.0314532963),1
Mevcut Hattaki İstasyon,POINT (28.9746879491 41.0221147392),1
Mevcut Hattaki İstasyon,POINT (28.9093460025 41.0078444838),1
Mevcut Hattaki İstasyon,POINT (28.8670836783 41.0209671886),1
Mevcut Hattaki İstasyon,POINT (29.0996930943 40.9752225),1
Mevcut Hattaki İstasyon,POINT (29.0244084241 40.984062436),1
Mevcut Hattaki İstasyon,POINT (28.94712091 41.0099969873),1
Mevcut Hattaki İstasyon,POINT (28.9282569721 41.0341805312),1
Mevcut Hattaki İstasyon,POINT (28.8460862329 40.9913483432),1
Mevcut Hattaki İstasyon,POINT (29.147007915 40.9299434238),1
Mevcut Hattaki İstasyon,POINT (28.8807589097 41.0115575409),1
Mevcut Hattaki İstasyon,POINT (28.8784918018 41.0427573125),1
Mevcut Hattaki İstasyon,POINT (28.8259631805 41.0649978935),1
Mevcut Hattaki İstasyon,POINT (28.8561754626 41.034514697),1
Mevcut Hattaki İstasyon,POINT (29.2113837621 40.9066447114),1
Mevcut Hattaki İstasyon,POINT (29.0145271463 41.0755084748),1
Mevcut Hattaki İstasyon,POINT (29.076243829 41.0163439849),1
Mevcut Hattaki İstasyon,POINT (28.9771245143 41.0135844923),1
Mevcut Hattaki İstasyon,POINT (28.8669783971 41.0714904542),1
Mevcut Hattaki İstasyon,POINT (29.0620828309 41.0221826659),1
Mevcut Hattaki İstasyon,POINT (29.1694542075 40.8985880196),1
Mevcut Hattaki İstasyon,POINT (28.9804834482 41.0706569134),1
Mevcut Hattaki İstasyon,POINT (29.1623536613 41.0152668658),1
Mevcut Hattaki İstasyon,POINT (28.821128321 40.9795412044),1
Mevcut Hattaki İstasyon,POINT (28.9856591013 41.0381565458),1
Mevcut Hattaki İstasyon,POINT (28.8902959262 41.00148356),1
Mevcut Hattaki İstasyon,POINT (28.8609536978 41.0289932752),1
Mevcut Hattaki İstasyon,POINT (28.8884262491 41.0376806403),1
Mevcut Hattaki İstasyon,POINT (29.1546230461 40.9238194899),1
Mevcut Hattaki İstasyon,POINT (28.9391494468 41.0123552716),1
Mevcut Hattaki İstasyon,POINT (28.9480367019 41.0340557692),1
Mevcut Hattaki İstasyon,POINT (28.8756232689 41.0802277875),1
Mevcut Hattaki İstasyon,POINT (29.0445867059 41.0022997833),1
Mevcut Hattaki İstasyon,POINT (29.0303161782 41.0000996226),1
Mevcut Hattaki İstasyon,POINT (29.0455710525 41.0853512482),1
Mevcut Hattaki İstasyon,POINT (28.8023325524 41.0724316434),1
Mevcut Hattaki İstasyon,POINT (28.8014808953 41.1075881712),1
Mevcut Hattaki İstasyon,POINT (29.121853858 40.9490497377),1
Mevcut Hattaki İstasyon,POINT (28.8606058814 41.1061810067),1
Mevcut Hattaki İstasyon,POINT (28.9728491187 41.0282905337),1
Mevcut Hattaki İstasyon,POINT (29.0219549908 40.9904063985),1
Mevcut Hattaki İstasyon,POINT (28.9926737246 41.0645050502),1
Mevcut Hattaki İstasyon,POINT (29.1792056992 41.0160785116),1
Mevcut Hattaki İstasyon,POINT (29.191190141 40.8886128832),1
Mevcut Hattaki İstasyon,POINT (29.0376279459 40.9909023378),1
Mevcut Hattaki İstasyon,POINT (28.9183127582 41.0823042034),1
Mevcut Hattaki İstasyon,POINT (29.1515186058 41.0159627424),1
Mevcut Hattaki İstasyon,POINT (28.9168778133 40.9926862409),1
Mevcut Hattaki İstasyon,POINT (29.1405619719 41.0165423463),1
Mevcut Hattaki İstasyon,POINT (28.950826891 41.0050201028),1
Mevcut Hattaki İstasyon,POINT (29.0482914336 41.021954492),1
Mevcut Hattaki İstasyon,POINT (29.1304702884 41.0197169944),1
Mevcut Hattaki İstasyon,POINT (29.189207926 41.0145632479),1
Mevcut Hattaki İstasyon,POINT (29.0625591735 40.9791648388),1
Mevcut Hattaki İstasyon,POINT (29.3223601331 40.829952436),1
Mevcut Hattaki İstasyon,POINT (29.0207706082 40.9899103415),1
Mevcut Hattaki İstasyon,POINT (29.178771727 40.9161698138),1
Mevcut Hattaki İstasyon,POINT (28.9874152263 41.0524927818),1
Mevcut Hattaki İstasyon,POINT (28.9305073648 41.0240232433),1
Mevcut Hattaki İstasyon,POINT (28.896181044 41.0076440847),1
Mevcut Hattaki İstasyon,POINT (28.9115778282 41.0159539922),1
Mevcut Hattaki İstasyon,POINT (29.1663490467 40.9208832243),1
Mevcut Hattaki İstasyon,POINT (28.7865302451 41.0744821902),1
Mevcut Hattaki İstasyon,POINT (29.0242490175 41.0773106797),1
Mevcut Hattaki İstasyon,POINT (28.797408964 41.0811835113),1
Mevcut Hattaki İstasyon,POINT (28.9396003277 41.0176097243),1
Mevcut Hattaki İstasyon,POINT (28.9020835612 41.0618358936),1
Mevcut Hattaki İstasyon,POINT (29.0707261384 40.9940461002),1
Mevcut Hattaki İstasyon,POINT (28.9075169292 41.004213274),1
Mevcut Hattaki İstasyon,POINT (28.9514201471 41.0055856644),1
Mevcut Hattaki İstasyon,POINT (28.8706380252 41.0367198157),1
Mevcut Hattaki İstasyon,POINT (28.9666983534 41.0090671307),1
Mevcut Hattaki İstasyon,POINT (28.8896559931 41.0016990483),1
Mevcut Hattaki İstasyon,POINT (28.8719867341 41.0841529031),1
Mevcut Hattaki İstasyon,POINT (28.8285542483 40.9866437703),1
Mevcut Hattaki İstasyon,POINT (29.108777832 41.0241552372),1
Mevcut Hattaki İstasyon,POINT (29.0490084627 40.978696151),1
Mevcut Hattaki İstasyon,POINT (29.2560336339 40.8713029434),1
Mevcut Hattaki İstasyon,POINT (28.9635421453 41.0797649097),1
Mevcut Hattaki İstasyon,POINT (29.2931664015 40.8522885877),1
Mevcut Hattaki İstasyon,POINT (29.1560454699 40.9100151225),1
Mevcut Hattaki İstasyon,POINT (28.8810549364 40.9817327416),1
Mevcut Hattaki İstasyon,POINT (28.9496326544 41.0791146521),1
Mevcut Hattaki İstasyon,POINT (29.1773527137 40.8905590783),1
Mevcut Hattaki İstasyon,POINT (28.9732136953 41.0174751806),1
Mevcut Hattaki İstasyon,POINT (28.9195379435 41.0416185494),1
Mevcut Hattaki İstasyon,POINT (28.8630701218 40.9953514712),1
Mevcut Hattaki İstasyon,POINT (28.8979561956 41.0303299066),1
Mevcut Hattaki İstasyon,POINT (29.0234841795 40.9908757898),1
Mevcut Hattaki İstasyon,POINT (28.9072392503 41.040852645),1
Mevcut Hattaki İstasyon,POINT (28.8667654908 41.0879075061),1
Mevcut Hattaki İstasyon,POINT (29.0055310949 41.0943010952),1
İnşaat Aşamasında,POINT (29.2120882819 41.010138601),0
Mevcut Hattaki İstasyon,POINT (29.1533571204 40.992156465),1
Mevcut Hattaki İstasyon,POINT (29.0074130115 41.0619944468),1
İnşaat Aşamasında,POINT (29.0074506142 41.0434905571),0
Mevcut Hattaki İstasyon,POINT (29.0096778157 41.054110438),1
İnşaat Aşamasında,POINT (28.6793243504 41.0349647043),0
Mevcut Hattaki İstasyon,POINT (28.9960969818 41.1011134287),1
Mevcut Hattaki İstasyon,POINT (28.8710345188 41.0173348574),1
Mevcut Hattaki İstasyon,POINT (28.9439490435 41.03956207),1
Mevcut Hattaki İstasyon,POINT (28.9411189488 41.056729923),1
Mevcut Hattaki İstasyon,POINT (28.9428944835 41.0647767596),1
Mevcut Hattaki İstasyon,POINT (28.9740377459 41.0227730939),1
Mevcut Hattaki İstasyon,POINT (28.9740491197 41.0284213663),1
Mevcut Hattaki İstasyon,POINT (28.802129563 41.0723497502),1
Mevcut Hattaki İstasyon,POINT (29.3474462443 40.8103767335),1
Mevcut Hattaki İstasyon,POINT (29.3638554302 40.8075100987),1
Mevcut Hattaki İstasyon,POINT (29.3800379757 40.799227689),1
Mevcut Hattaki İstasyon,POINT (29.3919754761 40.7913449435),1
Mevcut Hattaki İstasyon,POINT (29.409965741 40.7840644551),1
Mevcut Hattaki İstasyon,POINT (28.932979553 41.0540348217),1
Mevcut Hattaki İstasyon,POINT (28.9340681863 41.0500152491),1
Mevcut Hattaki İstasyon,POINT (28.9939499162 41.044737154),1
Mevcut Hattaki İstasyon,POINT (28.9905733691 41.0436318448),1
Mevcut Hattaki İstasyon,POINT (28.9468463059 41.1212997004),1
Mevcut Hattaki İstasyon,POINT (28.7685326311 41.2564077956),1
Mevcut Hattaki İstasyon,POINT (28.7127665942 41.2554334556),1
Mevcut Hattaki İstasyon,POINT (28.7426387571 41.2559358205),1
Mevcut Hattaki İstasyon,POINT (28.8836670921 41.1769563911),1
Mevcut Hattaki İstasyon,POINT (28.8089292147 41.2429601376),1
Mevcut Hattaki İstasyon,POINT (28.910227377 41.1591296952),1
Mevcut Hattaki İstasyon,POINT (28.9763643256 41.0801645224),1
İnşaat Aşamasında,POINT (29.0461832253 41.0849124744),0
İnşaat Aşamasında,POINT (29.0536539042 41.0813857171),0
İnşaat Aşamasında,POINT (28.7987700317 41.0521039707),0
İnşaat Aşamasında,POINT (29.2607292243 40.8790971867),0
İnşaat Aşamasında,POINT (29.231243344 40.8807839988),0
Mevcut Hattaki İstasyon,POINT (29.0109068179 41.0671898751),1
İnşaat Aşamasında,POINT (29.2399332527 40.9689823866),0
İnşaat Aşamasında,POINT (29.2175514237 41.0009067942),0
İnşaat Aşamasında,POINT (29.2724939011 40.9660720865),0
İnşaat Aşamasında,POINT (29.2549242235 40.9686747563),0
İnşaat Aşamasında,POINT (29.2292423995 40.9914198992),0
İnşaat Aşamasında,POINT (29.1988611401 41.0096652612),0
İnşaat Aşamasında,POINT (29.2314617555 40.983759202),0
İnşaat Aşamasında,POINT (29.2612487039 40.8787134664),0
İnşaat Aşamasında,POINT (29.2955767835 40.8638118705),0
İnşaat Aşamasında,POINT (29.2735045597 40.8787899886),0
İnşaat Aşamasında,POINT (29.2847349537 40.875958607),0
İnşaat Aşamasında,POINT (29.2928542239 40.8578528405),0
İnşaat Aşamasında,POINT (29.2996849242 40.8450693106),0
Mevcut Hattaki İstasyon,POINT (29.3114239088 40.9065447646),1
Mevcut Hattaki İstasyon,POINT (29.2962830984 40.9101335948),1
Mevcut Hattaki İstasyon,POINT (29.2751192864 40.9037407838),1
Mevcut Hattaki İstasyon,POINT (29.2624037531 40.8886417085),1
Mevcut Hattaki İstasyon,POINT (29.1562117564 41.0001481272),1
Mevcut Hattaki İstasyon,POINT (29.1526674022 41.0312433529),1
Mevcut Hattaki İstasyon,POINT (29.1595514004 41.0226344203),1
İnşaat Aşamasında,POINT (28.8717193568 41.0046548513),0
İnşaat Aşamasında,POINT (28.828203805 41.0221022649),0
İnşaat Aşamasında,POINT (28.8365597523 41.0235201646),0
İnşaat Aşamasında,POINT (28.8478882573 41.0260454587),0
İnşaat Aşamasında,POINT (28.8578448457 41.0193911133),0
İnşaat Aşamasında,POINT (28.8027818409 41.0284958617),0
İnşaat Aşamasında,POINT (28.874947155 40.997791003),0
İnşaat Aşamasında,POINT (28.8740634973 40.9817353367),0
Mevcut Hattaki İstasyon,POINT (28.9633072364 41.0209082584),1
İnşaat Aşamasında,POINT (28.8039976708 41.0640636378),0
İnşaat Aşamasında,POINT (28.8141344326 41.036903864),0
İnşaat Aşamasında,POINT (28.8226568462 40.9992732598),0
İnşaat Aşamasında,POINT (28.80672735 41.0449675987),0
İnşaat Aşamasında,POINT (28.8179826163 41.0150158062),0
İnşaat Aşamasında,POINT (28.8165137276 41.0251024172),0
İnşaat Aşamasında,POINT (28.8380437874 40.9892636065),0
İnşaat Aşamasında,POINT (28.8562110538 40.979913638),0
İnşaat Aşamasında,POINT (28.8186252974 41.0061906335),0
Mevcut Hattaki İstasyon,POINT (29.126424906 40.9789845394),1
Mevcut Hattaki İstasyon,POINT (29.0999002371 40.9775015583),1
Mevcut Hattaki İstasyon,POINT (29.0867181509 40.9667774717),1
Mevcut Hattaki İstasyon,POINT (29.0977225047 40.9509636456),1
Mevcut Hattaki İstasyon,POINT (29.0937084923 40.9605472642),1
Mevcut Hattaki İstasyon,POINT (29.1377306108 40.9846900159),1
Mevcut Hattaki İstasyon,POINT (29.1632870725 41.0152325915),1
Mevcut Hattaki İstasyon,POINT (29.1117414468 40.9789184865),1
Mevcut Hattaki İstasyon,POINT (29.161855314 41.0071876376),1
İnşaat Aşamasında,POINT (28.9907500553 41.0335744205),0
İnşaat Aşamasında,POINT (28.7974872035 41.0518352309),0
İnşaat Aşamasında,POINT (28.7093319731 41.0622487609),0
İnşaat Aşamasında,POINT (28.7588533017 41.0561315069),0
İnşaat Aşamasında,POINT (28.7259503944 41.0594321354),0
İnşaat Aşamasında,POINT (28.7862786379 41.0553154861),0
İnşaat Aşamasında,POINT (28.6835026611 41.064085764),0
İnşaat Aşamasında,POINT (28.7720939967 41.05816462),0
İnşaat Aşamasında,POINT (28.6755757425 41.0443971342),0
İnşaat Aşamasında,POINT (28.67076459 41.0567580416),0
İnşaat Aşamasında,POINT (28.8680772574 40.9736222874),0
İnşaat Aşamasında,POINT (28.8656490726 41.0116111624),0
İnşaat Aşamasında,POINT (28.7677107296 41.0176638112),0
Mevcut Hattaki İstasyon,POINT (28.9700504844 41.0182506722),1
İnşaat Aşamasında,POINT (28.7681738903 41.0202512735),0
İnşaat Aşamasında,POINT (28.7800124525 41.0338987921),0
İnşaat Aşamasında,POINT (28.7747473321 41.0565824441),0
İnşaat Aşamasında,POINT (28.7657137663 41.1174078016),0
